subject	content	is_phishing	accept_money	deny_money	penalty_time	difficulty	length	signal	action	condition
Your Electricity Bill is Ready	Good morning\n\nYour electricity bill is now ready to be paid. You currently owe $150.00. Please make your payment before the end of the day.	FALSE	-150.00	0.00	0.00			electricity	Pay $150	
*HONK!*	*HONK!*\n\nGreetings. Name is goose. Need nesting area. Was wondering if could room with you.\n\nAm a good roommate. Might pay rent. Not sure. Rough job market.\n\nSee you soon.\n\ngoose	FALSE	0.00	0.00	0.00			goose	Invite	
A Shot Through the Dark Collection Preorder	Dear reader\n\nMy name is Cathlene Ross and I wanted to first thank you for being apart of my early book club and supporting me for voer 5 years. I wanted to let you know that me and the team at Ross publishing are releasing the full collection of our heavily award book 3 part series A Shot Through the Dark on November 15th 2025 for $80. As we have a limited supply Preorders will be going live tomorow through the month of April and only avalible to our email subscribers. The first 100 will get a complementary signature and a map of the city of Everdark.\n\nGo to our website at www.RossPub.com then enter Code ASTDCP to place your preorder today.\n\nThank you for your support\n\nCathlene Ross 	FALSE	-80.00	0.00	0.00			entertainment	Pay $80	
Win a FREE TRIP to the Cayman Islands	Has this happened to you? You want to get away from the stress of life checking emails, watching 16 hours of tv daily, sleeping in your knife ridden bed with mold in your apartment but then you forget YOUR BROKE HOW ARE YOU GONNA PAY FOR THAT? Well with our sweepstakes at www.TaxFraudIsland.biz you can enter a MAJOR sweepstakes. Just enter your Credit Card information and you'll hear back from us in a month so you can enjoy the vacation of your dreams in the Cayman Islands.\n\nEnter now @ www.TaxFraudIsland.biz 	TRUE	-300.00	0.00	0.00			entertainment	Pay $300	
Viking Protection Services	You deserve to feel secure in your home, and Viking Protection Services want to make sure you are as safe as possible.\n\nFor $200, VPS will defend your home from miniature Vikings. As you may be aware already, tiny Vikings are currently rampaging through the country, and your home is at risk. Our team can provide defenses that humanely dissuade tiny Vikings from raiding your home.\n\nWe supply preventative measures against tiny Vikings. In the event of a tiny Viking raid, please contact your local emergency services. And join our mailing list for helpful tips on how to keep tiny Vikings out of your home.	FALSE	-60.00	0.00	0.00			vikings	Pay $60	
Spacebook Reminder	Your Spacebook friends want to hear from you!\n\nIt's Mary Ann Rose's birthday today! Don't forget to send good wishes.\n\nYou have 28 unread notifications.	FALSE	0.00	0.00	0.00			grandma	Happy Birthday!	
Rent due	Hi\n\nIt's Franklin, your landlord. This is a reminder that this month's rent is due today. Please send me $600 throwgh SnailPal before the end of the day.\n\n- Franklin Ross	FALSE	-600.00	0.00	0.00			rent	Pay $600	
Toll Payment Needed	This is a reminder of your unpaid toll.\n\nImmediately pay your fine of $110 or you risk the following consequences:\n\n- Vehicle registration revoked\n\n- Driver's license revoked\n\n- Further fines	TRUE	-110.00	0.00	0.00				Pay $110	
3 for 1 Parlay on Michigan vs OSU Quidditch 	You want to make money don't you. The big game is coming up next weekend and you could take it all home by placing a $1000 bet. Your favorite team is looking like some great odds. plese register your bank information and routing number so you can make some real money. Invite a friend get the satisfaction of winning!!!	TRUE	-1,000.00	0.00	0.00			sports	Pay $1000	
Brand New Deal from Phone Provider	Dear Valued Customer,\n\nWe recently noticed that your account is currently paying for an old phone plan that has been discontinued. In order to continue your services, we have decided to move you down to our cheaper $30 monthly plan in which you will receive 3gbs per month of service, a hotspot, unlimited text and calls, as well as 200 gbs speed. Sorry for the inconvenience and we hope to continue providing great service to you.\n\n Sincerly,\n\nPhone Provider	FALSE	-30.00	0.00	0.00			internet	Pay $30	
Please turn down that music	Hi neighbor,\n\nI wanted to politley ask you to turn down your music as for the past 3 weeks this has been causing me great grief as I often wake up at 6 am for work. Please respectfully after 10pm turn it down I really don't want to escalate this situation to the landlord.	FALSE	0.00	0.00	0.00			neighbor	Comply	
Your Monthly Water bill 	Good morning\n\nYour Water bill is now ready to be paid. You currently owe $60.00. Please make your payment before the end of the day.	FALSE	-60.00	0.00	0.00			Water	Pay $60	
Changing Car insurance 	Dear Loyal customer,\n\nWe heard that you recently bought a brand new car and are looking to keep it in pristine condition. We would greatly like for you to consider swapping over to our insurance as we provide.\n\n-Cheaper Rates\n\n-faster response times than your insurance\n\n-flexible pricing\n\n-and a brand new can-do attitude towards your car insurance\n\ntype us into google at New car insurance and you'll find us on the very top, register your cars information and someone will reach out to you soon.\n\n Be warned there is a $100 copay required for this registration so don't be alarmed. We hope to hear from you soon\n\nSincerely yours,\n\nnew insurance	TRUE	-100.00	0.00	0.00			Insurance	Pay $100	
